"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q4";"my-DPAK";1;"ntd18n06l";;;
2;"P16,P4,P3,P17,P2,P1";"MountingHole_3mm";6;"screw";;;
3;"C1,C4,C5,C8,C9,C10,C11,C14,C15,C23,C24,C26,C27,C28,C29,C32,C33,C34,C35,C38,C31,C37";"C_0805";22;"100n";;;
4;"C2,C3";"C_0805";2;"18p";;;
5;"C6,C7,C12,C13,C18,C21";"C_0805";6;"4u7";;;
6;"C16";"C_0805";1;"10n";;;
7;"C19";"C_0805";1;"2n2";;;
8;"C22,C25";"C_Radial_D10_L20_P5";2;"680u";;;
9;"C30,C36";"C_0805";2;"220n";;;
10;"D1,D2";"LED-3MM";2;"LED";;;
11;"D3,D4";"Diode_DO-41_SOD81_Horizontal_RM10";2;"1n5819";;;
12;"L1";"R_1206_HandSoldering";1;"10uH";;;
13;"L2";"my_inductance";1;"100uH";;;
14;"P6";"Measurement_Point_Round-TH_Small";1;"~rst~";;;
15;"P7";"Pin_Header_Straight_1x02";1;"mode";;;
16;"P8";"Pin_Header_Straight_1x08";1;"ext-2";;;
17;"P9";"USB_B";1;"USB_B";;;
18;"P10";"Pin_Header_Straight_1x03";1;"swd";;;
19;"R1,R4,R5,R7,R8,R9,R10,R11,R19,R27,R47";"R_0805";11;"10k 5%";;;
20;"R2,R3,R13,R20,R25,R34,R36";"R_0805";7;"1k 5%";;;
21;"R6,R37,R38,R41,R42,R45,R46,R48";"R_0805";8;"100 5%";;;
22;"R14,R15";"R_0805";2;"ferrite bead";;;
23;"R16";"R_0805";1;"6k2 5%";;;
24;"R17";"R_0805";1;"47k 5%";;;
25;"R18,R21,R22,R23,R33,R35";"R_0805";6;"33k 5%";;;
26;"R26";"R_0805";1;"100k 5%";;;
27;"R28,R29,R30,R31,R32";"R_0805";5;"0";;;
28;"R39,R40,R43,R44";"R_0805";4;"1 5%";;;
29;"stm1";"LQFP48";1;"STM32F103CBT6";;;
30;"U1";"CRYSTAL-SMD-5x3";1;"crystal-4pin";;;
31;"U2";"CP2102";1;"CP2102";;;
32;"U3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"m24c02";;;
33;"U4";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"NCP3063";;;
34;"U6";"SOT-23-5";1;"ts881";;;
35;"U7";"lb1930mc";1;"lb1930mc";;;
36;"U8,U9";"a4985";2;"a4985";;;
37;"P5";"Pin_Header_Straight_1x08";1;"ext-1";;;
38;"Q1";"SOT-23";1;"bc857";;;
39;"R12";"C_1206";1;"0.15 5%";;;
40;"R24";"Resistor_Horizontal_RM10mm";1;"10 5%";;;
41;"U5";"SOT-223";1;"my-NCP1117ST50T3G";;;
42;"P11,P12,P13,P14,P15";"my-JST_B4B-PH-SM4-TB";5;"stepper_conn";;;
43;"U10";"SOT-23";1;"MCP1703T-3302E/CB";;;
